Sexe	age	Chaussures	sacados	feder	anios_pract	numer_3000	boussole/GPS	Radio/Tel	TrousSecours	id_proc	Origine	Destination
H	23	2	1	0	10	10	0	1	0	CT	Espagne	Aneto
H	33	3	1	0	20	20	0	1	0	CT	Espagne	Aneto
H	23	3	1	0	10	5	0	0	0	PV	Espagne	Aneto
H	28	3	1	0	15	12	1	1	1	DEU	Autre pays	Aneto
H	23	3	1	0	10	1	1	1	1	CM	Espagne	Aneto
H	13	3	1	0	0	3	0	0	1	CT	Espagne	Aneto
H	18	4	1	1	5	100	1	1	1	NA	Espagne	Aneto
H	33	4	1	1	20	5	0	1	1	PV	Espagne	Aneto
H	33	4	1	1	20	300	1	1	1	EX	Espagne	Aneto
H	33	4	1	0	20	1	1	1	1	EX	Espagne	Aneto
H	23	3	1	0	10	2	1	0	0	PV	Espagne	Aneto
H	23	3	0	0	10	1	1	0	0	PV	Espagne	Aneto
H	28	3	1	0	15	3	1	0	1	CT	Espagne	Aneto
H	28	3	1	0	15	3	1	0	1	CT	Espagne	Aneto
M	28	3	1	1	15	3	1	0	1	CT	Espagne	Aneto
H	43	3	1	0	30	1	0	1	1	AS	Espagne	Aneto
H	28	2	1	0	15	1	1	1	1	EX	Espagne	Aneto
H	28	3	1	0	15	5	1	1	1	M	Espagne	Aneto
H	33	3	1	1	20	10	1	1	1	CL	Espagne	Aneto
H	33	3	1	0	20	1	1	1	1	AS	Espagne	Aneto
H	33	3	1	0	20	1	1	1	1	AS	Espagne	Aneto
H	23	4	1	1	10	25	1	0	0	PV	Espagne	Aneto
H	28	4	1	0	15	50	1	0	1	FRA	France	Aneto
H	28	5	1	0	15	10	1	0	1	FRA	France	Aneto
H	38	4	1	0	25	30	0	0	1	CT	Espagne	Aneto
H	33	4	1	0	20	2	0	1	0	VC	Espagne	Aneto
M	13	2	1	0	0	3	0	1	1	CT	Espagne	Aneto
M	13	3	1	0	0	3	0	1	1	CT	Espagne	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
H	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
M	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
M	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
M	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
M	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
M	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
M	33	4	1	1	20	5	1	1	1	SVN	Autre pays	Aneto
M	23	3	1	0	10	8	1	1	1	CT	Espagne	Aneto
H	43	4	1	0	30	15	0	1	1	CT	Espagne	Aneto
