rang annuel;titre;nationalité;sortie;mois;entrées (millions);annee;Type;nouvelle nationalité;Intervalle d'entrées;Nationalité simplifiée;Saison de sortie
11;TAIS-TOI;FRANCE / ITALIE;22/10/2003;10;3,03;2003;Comédie policière;FR;"[1;5[";FR;Automne
12;X MEN II;ETATS UNIS;30/04/2003;4;2,78;2003;Super-héros;US;"[1;5[";US;Printemps
13;BRUCE TOUT PUISSANT;ETATS UNIS;03/09/2003;9;2,67;2003;Comédie;US;"[1;5[";US;Été
14;SEIGNEUR DES ANNEAUX (LE) - LES DEUX TOURS;NOUVELLE ZELANDE;18/12/2002;12;2,57;2003;Fantasy;NZ;"[1;5[";Autre;Automne
15;8 MILE;ETATS UNIS;26/02/2003;2;2,24;2003;Comédie dramatique;US;"[1;5[";US;Hiver
16;GANGS OF NEW YORK;ETATS UNIS;08/01/2003;1;2,15;2003;Film historique / Guerre;US;"[1;5[";US;Hiver
17;BEUZE (LA);FRANCE;05/02/2003;2;1,96;2003;Comédie;FR;"[1;5[";FR;Hiver
18;AMERICAN PIE:THE WEDDING;ETATS UNIS;15/10/2003;10;1,91;2003;Comédie;US;"[1;5[";US;Automne
19;BAD BOYS II;ETATS UNIS;15/10/2003;10;1,88;2003;Policier/Thriller;US;"[1;5[";US;Automne
20;FAST & FURIOUS 2;ETATS UNIS;18/06/2003;6;1,79;2003;Action;US;"[1;5[";US;Printemps
21;HULK;ETATS UNIS;02/07/2003;7;1,67;2003;Super-héros;US;"[1;5[";US;Été
22;7 ANS DE MARIAGE...;FRANCE;25/06/2003;6;1,63;2003;Comédie;FR;"[1;5[";FR;Printemps
23;HARRY POTTER ET LA CHAMBRE DES SECRETS;ETATS UNIS;04/12/2002;12;1,59;2003;Fantastique;US;"[1;5[";US;Automne
24;CHARLIE'S ANGELS : LES ANGES SE DECHAINENT;ETATS UNIS;16/07/2003;7;1,56;2003;Action;US;"[1;5[";US;Été
25;KILL BILL VOL. 1;ETATS UNIS;26/11/2003;11;1,55;2003;Action;US;"[1;5[";US;Automne
26;DIX-HUIT ANS APRES;FRANCE;05/02/2003;2;1,54;2003;Comédie;FR;"[1;5[";FR;Hiver
27;COEUR DES HOMMES (LE);FRANCE;02/04/2003;4;1,53;2003;Comédie;FR;"[1;5[";FR;Printemps
28;DAREDEVIL;ETATS UNIS;19/03/2003;3;1,33;2003;Super-héros;US;"[1;5[";US;Hiver
29;GOOD BYE LENIN;ALLEMAGNE;10/09/2003;9;1,30;2003;Comédie dramatique;DEU;"[1;5[";Autre;Été
30;SINBAD: LA LEGENDE DES SEPT MERS;ETATS UNIS;09/07/2003;7;1,25;2003;Animation;US;"[1;5[";US;Été
31;FANFAN LA TULIPE;FRANCE;14/05/2003;5;1,25;2003;Aventure;FR;"[1;5[";FR;Printemps
32;LARA CROFT TOMB RAIDER, LE BERCEAU DE LA VIE;ETATS UNIS;20/08/2003;8;1,22;2003;Action;US;"[1;5[";US;Été
33;INVASIONS BARBARES (LES);CANADA / FRANCE;24/09/2003;9;1,19;2003;Comédie dramatique;CA;"[1;5[";Autre;Été
34;INTOLERABLE CRUAUTE;ETATS UNIS;19/11/2003;11;1,19;2003;Comédie;US;"[1;5[";US;Automne
35;MYSTIC RIVER;ETATS UNIS;15/10/2003;10;1,15;2003;Policier/Thriller;US;"[1;5[";US;Automne
36;PERE ET FILS;FRANCE / CANADA;20/08/2003;8;1,15;2003;Comédie dramatique;FR;"[1;5[";FR;Été
37;SENTIMENTS (LES);FRANCE;05/11/2003;11;1,14;2003;Comédie dramatique;FR;"[1;5[";FR;Automne
38;CHICAGO;ETATS UNIS;26/02/2003;2;1,13;2003;Film musical /Comédie musicale;US;"[1;5[";US;Hiver
39;RIRE ET CHATIMENT;FRANCE;22/01/2003;1;1,13;2003;Comédie;FR;"[1;5[";FR;Hiver
40;COUT DE LA VIE (LE);FRANCE;30/07/2003;7;1,10;2003;Comédie;FR;"[1;5[";FR;Été
41;MAUVAIS ESPRIT;FRANCE / ESPAGNE;05/11/2003;11;1,09;2003;Comédie;FR;"[1;5[";FR;Automne
42;JEUX D'ENFANTS;FRANCE / BELGIQUE;17/09/2003;9;1,07;2003;Comédie romantique;FR;"[1;5[";FR;Été
43;MYSTERE DE LA CHAMBRE JAUNE (LE);FRANCE / BELGIQUE;11/06/2003;6;1,06;2003;Comédie policière;FR;"[1;5[";FR;Printemps
44;MOI CESAR, 10 ANS1/2, 1M39;FRANCE;09/04/2003;4;1,06;2003;Comédie dramatique;FR;"[1;5[";FR;Printemps
45;FLEUR DU MAL (LA);FRANCE;19/02/2003;2;1,04;2003;Comédie dramatique;FR;"[1;5[";FR;Hiver
46;EFFROYABLES JARDINS;FRANCE;26/03/2003;3;1,02;2003;Drame;FR;"[1;5[";FR;Hiver
47;LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA);ETATS UNIS;01/10/2003;10;1,02;2003;Science-fiction;US;"[1;5[";US;Automne
1;CHORISTES (LES);FRANCE / SUISSE;17/03/2004;3;8,43;2004;Comédie dramatique;FR;"[5;10[";FR;Hiver
2;SHREK 2;ETATS UNIS;23/06/2004;6;7,14;2004;Animation;US;"[5;10[";US;Printemps
3;HARRY POTTER ET LE PRISONNIER D'AZKABAN;GRANDE BRETAGNE;02/06/2004;6;7,08;2004;Fantastique;GB;"[5;10[";GB;Printemps
4;SPIDER-MAN 2;ETATS UNIS;14/07/2004;7;5,23;2004;Super-héros;US;"[5;10[";US;Été
5;INDESTRUCTIBLES (LES);ETATS UNIS;24/11/2004;11;4,92;2004;Animation;US;"[1;5[";US;Automne
6;UN LONG DIMANCHE DE FIANCAILLES;FRANCE;27/10/2004;10;4,33;2004;Drame;FR;"[1;5[";FR;Automne
