rang annuel;titre;nationalité;sortie;mois;entrées (millions);annee;Type;nouvelle nationalité;Intervalle d'entrées;Nationalité simplifiée;Saison de sortie
24;MIAMI VICE - DEUX FLICS A MIAMI;ETATS UNIS;16/08/2006;8;1,57;2006;Policier/Thriller;US;"[1;5[";US;Été
25;REBELLES DE LA FORET (LES);ETATS UNIS;18/10/2006;10;1,57;2006;Animation;US;"[1;5[";US;Automne
26;NOS VOISINS LES HOMMES;ETATS UNIS;05/07/2006;7;1,51;2006;Animation;US;"[1;5[";US;Été
27;INFILTRES (LES);ETATS UNIS;29/11/2006;11;1,48;2006;Policier/Thriller;US;"[1;5[";US;Automne
28;NOS JOURS HEUREUX (EX:CES JOURS HEUREUX);FRANCE;28/06/2006;6;1,47;2006;Comédie;FR;"[1;5[";FR;Printemps
29;SUPERMAN RETURNS;ETATS UNIS;12/07/2006;7;1,46;2006;Comédie;US;"[1;5[";US;Été
30;ASTÉRIX ET LES VIKINGS;FRANCE;12/04/2006;4;1,37;2006;Animation;FR;"[1;5[";FR;Printemps
31;SECRET DE BROKEBACK MOUNTAIN (LE);ETATS UNIS;18/01/2006;1;1,32;2006;Drame;US;"[1;5[";US;Hiver
32;LORD OF WAR;ETATS UNIS;04/01/2006;1;1,31;2006;Drame;US;"[1;5[";US;Hiver
33;GARFIELD 2;ETATS UNIS;19/07/2006;7;1,27;2006;Animation;US;"[1;5[";US;Été
34;JEAN-PHILIPPE;FRANCE;05/04/2006;4;1,22;2006;Comédie;FR;"[1;5[";FR;Printemps
35;MARIE ANTOINETTE;ETATS UNIS;24/05/2006;5;1,22;2006;Film historique / Guerre;US;"[1;5[";US;Printemps
36;HORS DE PRIX;FRANCE;13/12/2006;12;1,21;2006;Comédie;FR;"[1;5[";FR;Automne
37;INSIDE MAN;ETATS UNIS;12/04/2006;4;1,18;2006;Policier/Thriller;US;"[1;5[";US;Printemps
38;MAISON DU BONHEUR (LA);FRANCE;07/06/2006;6;1,14;2006;Comédie;FR;"[1;5[";FR;Printemps
39;HAPPY FEET;ETATS UNIS;06/12/2006;12;1,10;2006;Animation;US;"[1;5[";US;Automne
40;IVRESSE DU POUVOIR (EX:LA COMÉDIE DU POUVOIR);FRANCE / ALLEMAGNE;22/02/2006;2;1,08;2006;Drame;FR;"[1;5[";FR;Hiver
41;SOURIS CITY;ETATS UNIS;29/11/2006;11;1,04;2006;Animation;US;"[1;5[";US;Automne
42;MUNICH;ETATS UNIS;25/01/2006;1;1,04;2006;Policier/Thriller;US;"[1;5[";US;Hiver
43;COMME T'Y ES BELLE !;FRANCE / GRANDE BRETAGNE / LUXEMBOURG / BELGIQUE;10/05/2006;5;1,04;2006;Comédie;FR;"[1;5[";FR;Printemps
1;RATATOUILLE;ETATS UNIS;01/08/2007;8;7,67;2007;Animation;US;"[5;10[";US;Été
2;SPIDER-MAN 3;ETATS UNIS;01/05/2007;5;6,32;2007;Super-héros;US;"[5;10[";US;Printemps
3;HARRY POTTER ET L'ORDRE DU PHENIX;GRANDE BRETAGNE;11/07/2007;7;6,21;2007;Fantastique;GB;"[5;10[";GB;Été
4;PIRATES DES CARAIBES, JUSQU'AU BOUT DU MONDE;ETATS UNIS;23/05/2007;5;5,64;2007;Fantastique;US;"[5;10[";US;Printemps
5;SHREK LE TROISIEME;ETATS UNIS;13/06/2007;6;5,55;2007;Animation;US;"[5;10[";US;Printemps
6;MOME (LA);France / REPUBLIQUE TCHEQUE / GRANDE BRETAGNE;14/02/2007;2;5,22;2007;Biopic/Biographie;FR;"[5;10[";FR;Hiver
7;TAXI 4;France;14/02/2007;2;4,55;2007;Comédie policière;FR;"[1;5[";FR;Hiver
8;SIMPSON LE FILM (LES);ETATS UNIS;25/07/2007;7;3,55;2007;Animation;US;"[1;5[";US;Été
9;ENSEMBLE, C'EST TOUT;France;21/03/2007;3;2,31;2007;Comédie dramatique;FR;"[1;5[";FR;Hiver
10;A LA CROISEE DES MONDES : LA BOUSSOLE D'OR;GRANDE BRETAGNE;05/12/2007;12;2,29;2007;Fantastique;GB;"[1;5[";GB;Automne
11;NUIT AU MUSEE (LA);ETATS UNIS;07/02/2007;2;2,27;2007;Fantastique;US;"[1;5[";US;Hiver
12;DIE HARD 4 RETOUR EN ENFER;ETATS UNIS;04/07/2007;7;2,27;2007;Action;US;"[1;5[";US;Été
13;ARTHUR ET LES MINIMOYS (EX : ARTHUR);FRANCE;13/12/2006;12;2,25;2007;Aventure;FR;"[1;5[";FR;Automne
14;IL ETAIT UNE FOIS;ETATS UNIS;28/11/2007;11;2,19;2007;Comédie;US;"[1;5[";US;Automne
15;TRANSFORMERS;ETATS UNIS;25/07/2007;7;1,98;2007;Science-fiction;US;"[1;5[";US;Été
16;JE SUIS UNE LEGENDE;ETATS UNIS;19/12/2007;12;1,88;2007;Science-fiction;US;"[1;5[";US;Automne
17;CŒUR DES HOMMES N°2 (LE);France;24/10/2007;10;1,81;2007;Comédie;FR;"[1;5[";FR;Automne
18;4 FANTASTIQUES ET LE SURFER D'ARGENT (LES);ETATS UNIS;08/08/2007;8;1,66;2007;Super-héros;US;"[1;5[";US;Été
19;UN SECRET;France / Allemagne;03/10/2007;10;1,65;2007;Drame;FR;"[1;5[";FR;Automne
20;300;ETATS UNIS;21/03/2007;3;1,65;2007;Péplum;US;"[1;5[";US;Hiver
21;OCEAN'S 13;ETATS UNIS;20/06/2007;6;1,64;2007;Policier/Thriller;US;"[1;5[";US;Printemps
22;VENGEANCE DANS LA PEAU (LA);GRANDE BRETAGNE;12/09/2007;9;1,54;2007;Espionnage;GB;"[1;5[";GB;Été
23;VIE DES AUTRES (LA);ALLEMAGNE;31/01/2007;1;1,54;2007;Drame;DEU;"[1;5[";Autre;Hiver
24;ROIS DE LA GLISSE (LES);ETATS UNIS;24/10/2007;10;1,51;2007;Animation;US;"[1;5[";US;Automne
25;RENARD ET L'ENFANT (LE);France;12/12/2007;12;1,49;2007;Aventure;FR;"[1;5[";FR;Automne
26;UN JOUR SUR TERRE;GRANDE BRETAGNE;10/10/2007;10;1,40;2007;Documentaire;GB;"[1;5[";GB;Automne
27;DIALOGUE AVEC MON JARDINIER;FRANCE;06/06/2007;6;1,36;2007;Comédie dramatique;FR;"[1;5[";FR;Printemps
28;PRIX À PAYER (LE);France;04/04/2007;4;1,34;2007;Comédie;FR;"[1;5[";FR;Printemps
29;BLOOD DIAMOND;ETATS UNIS;31/01/2007;1;1,31;2007;Drame;US;"[1;5[";US;Hiver
30;PERSÉPOLIS;FRANCE;27/06/2007;6;1,24;2007;Animation;FR;"[1;5[";FR;Printemps
31;99 FRANCS;France;26/09/2007;9;1,23;2007;Comédie dramatique;FR;"[1;5[";FR;Été
32;MOLIÈRE;France;31/01/2007;1;1,22;2007;Comédie;FR;"[1;5[";FR;Hiver
33;ERAGON;ETATS UNIS;20/12/2006;12;1,21;2007;Fantasy;US;"[1;5[";US;Automne
34;AMERICAN GANGSTER;ETATS UNIS;14/11/2007;11;1,17;2007;Policier/Thriller;US;"[1;5[";US;Automne
35;ROCKY BALBOA;ETATS UNIS;24/01/2007;1;1,15;2007;Drame;US;"[1;5[";US;Hiver
36;ZODIAC;ETATS UNIS;17/05/2007;5;1,13;2007;Policier/Thriller;US;"[1;5[";US;Printemps
37;FAILLE (LA);ETATS UNIS;09/05/2007;5;1,12;2007;Policier/Thriller;US;"[1;5[";US;Printemps
38;GHOST RIDER;ETATS UNIS;21/02/2007;2;1,07;2007;Fantastique;US;"[1;5[";US;Hiver
39;VACANCES DE MR BEAN (LES);GRANDE BRETAGNE;18/04/2007;4;1,06;2007;Comédie;GB;"[1;5[";GB;Printemps
40;SECRET DE TARABITHIA (LE);ETATS UNIS;28/03/2007;3;1,05;2007;Drame;US;"[1;5[";US;Hiver
1;BIENVENUE CHEZ LES CH'TIS;France;27/02/2008;2;20,44;2008;Comédie;FR;"[15;20[";FR;Hiver
2;ASTÉRIX AUX JEUX OLYMPIQUES;France / Allemagne / Espagne / Italie;30/01/2008;1;6,81;2008;Comédie;FR;"[5;10[";FR;Hiver
3;MADAGASCAR 2 : LA GRANDE EVASION;ETATS UNIS;03/12/2008;12;4,35;2008;Animation;US;"[1;5[";US;Automne
4;INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL;ETATS UNIS;21/05/2008;5;4,21;2008;Aventure;US;"[1;5[";US;Printemps
5;QUANTUM OF SOLACE;GRANDE BRETAGNE;31/10/2008;10;3,70;2008;Espionnage;GB;"[1;5[";GB;Automne
6;KUNG FU PANDA;ETATS UNIS;09/07/2008;7;3,27;2008;Animation;US;"[1;5[";US;Été
7;WALL-E;ETATS UNIS;30/07/2008;7;3,17;2008;Animation;US;"[1;5[";US;Été
8;HANCOCK;ETATS UNIS;09/07/2008;7;3,07;2008;Fantastique;US;"[1;5[";US;Été
9;MONDE DE NARNIA (LE ) - CHAPITRE 2 - LE PRINCE CASPIAN;ETATS UNIS;25/06/2008;6;3,05;2008;Fantasy;US;"[1;5[";US;Printemps
10;THE DARK KNIGHT LE CHEVALIER NOIR;ETATS UNIS;13/08/2008;8;3,00;2008;Super-héros;US;"[1;5[";US;Été
11;DISCO;France;02/04/2008;4;2,35;2008;Comédie;FR;"[1;5[";FR;Printemps
12;MESRINE : L'INSTINCT DE MORT;France / Canada / Italie;22/10/2008;10;2,26;2008;Biopic/Biographie;FR;"[1;5[";FR;Automne
13;ENFIN VEUVE;France;16/01/2008;1;2,25;2008;Comédie dramatique;FR;"[1;5[";FR;Hiver
14;IRON MAN;ETATS UNIS;30/04/2008;4;2,04;2008;Super-héros;US;"[1;5[";US;Printemps
15;SEX AND THE CITY LE FILM;ETATS UNIS;28/05/2008;5;1,99;2008;Comédie romantique;US;"[1;5[";US;Printemps
16;BENJAMIN GATES ET LE LIVRE DES SECRETS;ETATS UNIS;13/02/2008;2;1,95;2008;Aventure;US;"[1;5[";US;Hiver
17;HIGH SCHOOL MUSICAL 3 : NOS ANNEES LYCEE;ETATS UNIS;22/10/2008;10;1,88;2008;Film musical /Comédie musicale;US;"[1;5[";US;Automne
18;VICKY CRISTINA BARCELONA;ESPAGNE;08/10/2008;10;1,88;2008;Comédie dramatique;ESP;"[1;5[";Autre;Automne
19;PARIS;France;20/02/2008;2;1,75;2008;Comédie dramatique;FR;"[1;5[";FR;Hiver
20;HORTON;ETATS UNIS;02/04/2008;4;1,68;2008;Animation;US;"[1;5[";US;Printemps
21;ENTRE LES MURS;France;24/09/2008;9;1,58;2008;Comédie dramatique;FR;"[1;5[";FR;Été
22;MAMMA MIA ! LE FILM;GRANDE BRETAGNE;10/09/2008;9;1,57;2008;Film musical /Comédie musicale;GB;"[1;5[";GB;Été
23;MOMIE : LA TOMBE DE L'EMPEREUR DRAGON (LA );ETATS UNIS;06/08/2008;8;1,56;2008;Fantastique;US;"[1;5[";US;Été
24;MESRINE : L'ENNEMI PUBLIC N°1;France;19/11/2008;11;1,50;2008;Biopic/Biographie;FR;"[1;5[";FR;Automne
25;INTO THE WILD;ETATS UNIS;09/01/2008;1;1,42;2008;Biopic/Biographie;US;"[1;5[";US;Hiver
26;ECHANGE (L');ETATS UNIS;12/11/2008;11;1,37;2008;Drame;US;"[1;5[";US;Automne
27;TRANSPORTEUR 3 (LE);FRANCE;26/11/2008;11;1,35;2008;Action;FR;"[1;5[";FR;Automne
28;FAUBOURG 36;France / Allemagne / REPUBLIQUE TCHEQUE;24/09/2008;9;1,32;2008;Film musical /Comédie musicale;FR;"[1;5[";FR;Été
29;PHENOMENES;ETATS UNIS;11/06/2008;6;1,30;2008;Catastrophe;US;"[1;5[";US;Printemps
30;CHIMPANZES DE L'ESPACE (LES);ETATS UNIS;22/10/2008;10;1,25;2008;Animation;US;"[1;5[";US;Automne
31;VOYAGE AU CENTRE DE LA TERRE 3D;ETATS UNIS;16/07/2008;7;1,21;2008;Aventure;US;"[1;5[";US;Été
32;PREMIER JOUR DU RESTE DE TA VIE (LE);France;23/07/2008;7;1,20;2008;Comédie dramatique;FR;"[1;5[";FR;Été
33;CRIME EST NOTRE AFFAIRE (LE);FRANCE;15/10/2008;10;1,18;2008;Comédie policière;FR;"[1;5[";FR;Automne
34;JUMPER;ETATS UNIS;20/02/2008;2;1,15;2008;Science-fiction;US;"[1;5[";US;Hiver
35;LARGO WINCH;FRANCE;17/12/2008;12;1,12;2008;Action;FR;"[1;5[";FR;Automne
36;CASH;France;23/04/2008;4;1,11;2008;Policier/Thriller;FR;"[1;5[";FR;Printemps
37;DEUX JOURS À TUER;France;30/04/2008;4;1,09;2008;Drame;FR;"[1;5[";FR;Printemps
38;WANTED : CHOISIS TON DESTIN;ETATS UNIS;16/07/2008;7;1,09;2008;Action;US;"[1;5[";US;Été
39;AGATHE CLÉRY;France;03/12/2008;12;1,09;2008;Film musical /Comédie musicale;FR;"[1;5[";FR;Automne
40;BURN AFTER READING;ETATS UNIS;10/12/2008;12;1,06;2008;Comédie;US;"[1;5[";US;Automne
41;JACKPOT;ETATS UNIS;07/05/2008;5;1,05;2008;Comédie romantique;US;"[1;5[";US;Printemps
42;SWEENEY TODD LE DIABOLIQUE BARBIER DE FLEET STREET;ETATS UNIS;23/01/2008;1;1,05;2008;Film musical /Comédie musicale;US;"[1;5[";US;Hiver
43;JE SUIS UNE LEGENDE;ETATS UNIS;19/12/2007;12;1,03;2008;Science-fiction;US;"[1;5[";US;Automne
44;INCROYABLE HULK (L');ETATS UNIS;23/07/2008;7;1,03;2008;Super-héros;US;"[1;5[";US;Été
45;TAKEN;France;27/02/2008;2;1,02;2008;Policier/Thriller;FR;"[1;5[";FR;Hiver
46;JOUR OU LA TERRE S'ARRETA (LE);ETATS UNIS;10/12/2008;12;1,00;2008;Science-fiction;US;"[1;5[";US;Automne
1;AGE DE GLACE 3 LE TEMPS DES DINOSAURES (L');ETATS UNIS;03/07/2009;7;7,83;2009;Animation;US;"[5;10[";US;Été
2;AVATAR;ETATS UNIS;16/12/2009;12;6,30;2009;Science-fiction;US;"[5;10[";US;Automne
3;HARRY POTTER ET LE PRINCE DE SANG-MELE;GRANDE BRETAGNE;15/07/2009;7;6,09;2009;Fantastique;GB;"[5;10[";GB;Été
4;PETIT NICOLAS (LE);FRANCE / BELGIQUE;30/09/2009;9;5,54;2009;Comédie;FR;"[5;10[";FR;Été
5;2012;ETATS UNIS;11/11/2009;11;4,58;2009;Catastrophe;US;"[1;5[";US;Automne
6;LA-HAUT;ETATS UNIS;29/07/2009;7;4,41;2009;Animation;US;"[1;5[";US;Été
7;TWILIGHT - CHAPITRE 2 : TENTATION;ETATS UNIS;18/11/2009;11;4,12;2009;Fantastique;US;"[1;5[";US;Automne
8;LOL (LAUGHING OUT LOUD);FRANCE;04/02/2009;2;3,65;2009;Comédie;FR;"[1;5[";FR;Hiver
9;ARTHUR ET LA VENGEANCE DE MALTAZARD;FRANCE;02/12/2009;12;3,53;2009;Aventure;FR;"[1;5[";FR;Automne
10;GRAN TORINO;ETATS UNIS;25/02/2009;2;3,44;2009;Drame;US;"[1;5[";US;Hiver
11;COCO;FRANCE;18/03/2009;3;2,93;2009;Comédie;FR;"[1;5[";FR;Hiver
12;VOLT, STAR MALGRE LUI;ETATS UNIS;04/02/2009;2;2,88;2009;Animation;US;"[1;5[";US;Hiver
13;INGLOURIOUS BASTERDS;ETATS UNIS;19/08/2009;8;2,83;2009;Film historique / Guerre;US;"[1;5[";US;Été
14;TWILIGHT - CHAPITRE 1 : FASCINATION;ETATS UNIS;07/01/2009;1;2,79;2009;Fantastique;US;"[1;5[";US;Hiver
15;SLUMDOG MILLIONAIRE;GRANDE BRETAGNE;14/01/2009;1;2,70;2009;Drame;GB;"[1;5[";GB;Hiver
16;ETRANGE HISTOIRE DE BENJAMIN BUTTON (L');ETATS UNIS;04/02/2009;2;2,61;2009;Fantastique;US;"[1;5[";US;Hiver
17;NEUILLY SA MERE !;FRANCE;12/08/2009;8;2,54;2009;Comédie;FR;"[1;5[";FR;Été
18;OSS 117 RIO NE RÉPOND PLUS;FRANCE;15/04/2009;4;2,52;2009;Comédie d'action / d'espionnage;FR;"[1;5[";FR;Printemps
19;TRANSFORMERS 2 LA REVANCHE;ETATS UNIS;24/06/2009;6;2,27;2009;Science-fiction;US;"[1;5[";US;Printemps
20;ANGES & DEMONS;ETATS UNIS;13/05/2009;5;2,04;2009;Policier/Thriller;US;"[1;5[";US;Printemps
21;VERY BAD TRIP;ETATS UNIS;24/06/2009;6;2,00;2009;Comédie;US;"[1;5[";US;Printemps
22;SAFARI;FRANCE;01/04/2009;4;1,96;2009;Comédie;FR;"[1;5[";FR;Printemps
23;X-MEN ORIGINS WOLVERINE;ETATS UNIS;29/04/2009;4;1,96;2009;Super-héros;US;"[1;5[";US;Printemps
24;LUCKY LUKE;FRANCE;21/10/2009;10;1,88;2009;Comédie;FR;"[1;5[";FR;Automne
25;DE L'AUTRE COTE DU LIT;FRANCE;07/01/2009;1;1,81;2009;Comédie;FR;"[1;5[";FR;Hiver
26;FAST & FURIOUS 4;ETATS UNIS;08/04/2009;4;1,78;2009;Action;US;"[1;5[";US;Printemps
27;PREMIÈRE ÉTOILE (LA);FRANCE;25/03/2009;3;1,65;2009;Comédie;FR;"[1;5[";FR;Hiver
28;CODE A CHANGÉ (LE);FRANCE;18/02/2009;2;1,63;2009;Comédie dramatique;FR;"[1;5[";FR;Hiver
29;NUIT AU MUSEE 2;ETATS UNIS;20/05/2009;5;1,63;2009;Fantastique;US;"[1;5[";US;Printemps
30;CONCERT (LE);FRANCE / BELGIQUE / ROUMANIE / ITALIE;04/11/2009;11;1,61;2009;Comédie dramatique;FR;"[1;5[";FR;Automne
31;PUBLIC ENEMIES;ETATS UNIS;08/07/2009;7;1,57;2009;Policier/Thriller;US;"[1;5[";US;Été
32;TERMINATOR RENAISSANCE;ETATS UNIS;03/06/2009;6;1,55;2009;Science-fiction;US;"[1;5[";US;Printemps
33;MICHAEL JACKSON'S THIS IS IT;ETATS UNIS;28/10/2009;10;1,55;2009;Documentaire;US;"[1;5[";US;Automne
34;PREDICTIONS;AUSTRALIE;01/04/2009;4;1,40;2009;Science-fiction;AUS;"[1;5[";Autre;Printemps
35;MISSION-G;ETATS UNIS;14/10/2009;10;1,37;2009;Animation;US;"[1;5[";US;Automne
36;DROLE DE NOEL DE SCROOGE (LE);ETATS UNIS;25/11/2009;11;1,28;2009;Animation;US;"[1;5[";US;Automne
37;MONSTRES CONTRE ALIENS;ETATS UNIS;01/04/2009;4;1,26;2009;Animation;US;"[1;5[";US;Printemps
38;MICMACS À TIRE-LARIGOT;FRANCE;28/10/2009;10;1,26;2009;Comédie;FR;"[1;5[";FR;Automne
39;INCOGNITO;FRANCE / BELGIQUE;29/04/2009;4;1,24;2009;Comédie;FR;"[1;5[";FR;Printemps
40;WELCOME;FRANCE;11/03/2009;3;1,22;2009;Drame;FR;"[1;5[";FR;Hiver
41;MILLENIUM;SUEDE;13/05/2009;5;1,22;2009;Policier/Thriller;SUE;"[1;5[";Autre;Printemps
42;UN PROPHÈTE;FRANCE / ITALIE;26/08/2009;8;1,22;2009;Drame;FR;"[1;5[";FR;Été
43;NOCES REBELLES (LES);ETATS UNIS;21/01/2009;1;1,14;2009;Drame;US;"[1;5[";US;Hiver
44;DESTINATION FINALE 4;ETATS UNIS;26/08/2009;8;1,11;2009;Horreur;US;"[1;5[";US;Été
45;DISTRICT 9;ETATS UNIS;16/09/2009;9;1,11;2009;Science-fiction;US;"[1;5[";US;Été
46;SEPT VIES;ETATS UNIS;14/01/2009;1;1,11;2009;Drame;US;"[1;5[";US;Hiver
47;BANLIEUE 13 - ULTIMATUM;FRANCE;18/02/2009;2;1,10;2009;Action;FR;"[1;5[";FR;Hiver
48;PARANORMAL ACTIVITY;ETATS UNIS;02/12/2009;12;1,05;2009;Horreur;US;"[1;5[";US;Automne
49;COCO AVANT CHANEL;FRANCE;22/04/2009;4;1,04;2009;Biopic/Biographie;FR;"[1;5[";FR;Printemps
50;17 ANS ENCORE;ETATS UNIS;22/04/2009;4;1,01;2009;Comédie;US;"[1;5[";US;Printemps
1;AVATAR;ETATS UNIS;16/12/2009;12;8,47;2010;Science-fiction;US;"[5;10[";US;Automne
2;HARRY POTTER ET LES RELIQUES DE LA MORT (1ÈRE PARTIE);GRANDE BRETAGNE;24/11/2010;11;5,51;2010;Fantastique;GB;"[5;10[";GB;Automne
3;PETITS MOUCHOIRS (LES);FRANCE;20/10/2010;10;5,33;2010;Comédie dramatique;FR;"[5;10[";FR;Automne
4;INCEPTION;GRANDE BRETAGNE;21/07/2010;7;4,94;2010;Science-fiction;GB;"[1;5[";GB;Été
5;SHREK 4, IL ÉTAIT UNE FIN;ETATS UNIS;30/06/2010;6;4,63;2010;Animation;US;"[1;5[";US;Printemps
6;ALICE AU PAYS DES MERVEILLES;ETATS UNIS;24/03/2010;3;4,43;2010;Fantastique;US;"[1;5[";US;Hiver
7;TOY STORY 3;ETATS UNIS;14/07/2010;7;4,26;2010;Animation;US;"[1;5[";US;Été
8;CAMPING 2;FRANCE;21/04/2010;4;3,98;2010;Comédie;FR;"[1;5[";FR;Printemps
9;TWILIGHT - CHAPITRE 3 : HESITATION;ETATS UNIS;07/07/2010;7;3,94;2010;Fantastique;US;"[1;5[";US;Été
10;ARNACOEUR (L');FRANCE;17/03/2010;3;3,78;2010;Comédie romantique;FR;"[1;5[";FR;Hiver
11;PRINCESSE ET LA GRENOUILLE (LA);ETATS UNIS;27/01/2010;1;3,66;2010;Animation;US;"[1;5[";US;Hiver
12;RAIPONCE;ETATS UNIS;01/12/2010;12;3,17;2010;Animation;US;"[1;5[";US;Automne
13;INVICTUS;ETATS UNIS;13/01/2010;1;3,17;2010;Biopic/Biographie;US;"[1;5[";US;Hiver
14;DES HOMMES ET DES DIEUX;FRANCE;08/09/2010;9;3,14;2010;Drame;FR;"[1;5[";FR;Été
15;SHUTTER ISLAND;ETATS UNIS;24/02/2010;2;3,11;2010;Policier/Thriller;US;"[1;5[";US;Hiver
16;ARTHUR 3 ET LA GUERRE DES DEUX MONDES;FRANCE;13/10/2010;10;3,10;2010;Aventure;FR;"[1;5[";FR;Automne
17;MOI, MOCHE ET MECHANT;ETATS UNIS;06/10/2010;10;3,01;2010;Animation;US;"[1;5[";US;Automne
18;RAFLE (LA);FRANCE / ALLEMAGNE / HONGRIE;10/03/2010;3;2,88;2010;Film historique / Guerre;FR;"[1;5[";FR;Hiver
19;OCÉANS;FRANCE;27/01/2010;1;2,86;2010;Documentaire;FR;"[1;5[";FR;Hiver
20;IRON MAN 2;ETATS UNIS;28/04/2010;4;2,58;2010;Super-héros;US;"[1;5[";US;Printemps
21;ROBIN DES BOIS;GRANDE BRETAGNE;12/05/2010;5;2,39;2010;Aventure;GB;"[1;5[";GB;Printemps
22;MONDE DE NARNIA - CHAPITRE 3 - L'ODYSSEE DU PASSEUR D'AURORE (LE);ETATS UNIS;08/12/2010;12;2,33;2010;Fantasy;US;"[1;5[";US;Automne
23;DRAGONS;ETATS UNIS;31/03/2010;3;2,32;2010;Animation;US;"[1;5[";US;Hiver
24;POTICHE;FRANCE / BELGIQUE;10/11/2010;11;2,25;2010;Comédie;FR;"[1;5[";FR;Automne
25;SHERLOCK HOLMES;GRANDE BRETAGNE;03/02/2010;2;2,15;2010;Aventure;GB;"[1;5[";GB;Hiver
26;PRINCE OF PERSIA : LES SABLES DU TEMPS;ETATS UNIS;26/05/2010;5;2,11;2010;Fantastique;US;"[1;5[";US;Printemps
27;CHOC DES TITANS (LE);GRANDE BRETAGNE;07/04/2010;4;1,87;2010;Péplum;GB;"[1;5[";GB;Printemps
28;NIGHT AND DAY;ETATS UNIS;28/07/2010;7;1,76;2010;Action;US;"[1;5[";US;Été
29;APPRENTI SORCIER (L');ETATS UNIS;11/08/2010;8;1,66;2010;Fantastique;US;"[1;5[";US;Été
30;EXPENDABLES : UNITE SPECIALE;ETATS UNIS;18/08/2010;8;1,65;2010;Fantastique;US;"[1;5[";US;Été
31;AVENTURES EXTRAORDINAIRES D'ADELE BLANC-SEC (LES);FRANCE;14/04/2010;4;1,63;2010;Comédie;FR;"[1;5[";FR;Printemps
32;SALT;ETATS UNIS;25/08/2010;8;1,47;2010;Comédie;US;"[1;5[";US;Été
33;MAC (LE);FRANCE;17/02/2010;2;1,46;2010;Comédie;FR;"[1;5[";FR;Hiver
34;THE SOCIAL NETWORK;ETATS UNIS;13/10/2010;10;1,44;2010;Biopic/Biographie;US;"[1;5[";US;Automne
35;TOUT CE QUI BRILLE;FRANCE;24/03/2010;3;1,42;2010;Comédie;FR;"[1;5[";FR;Hiver
36;VOYAGE EXTRAORDINAIRE DE SAMY (LE);Belgique;11/08/2010;8;1,31;2010;Animation;BEL;"[1;5[";Autre;Été
37;SEX AND THE CITY 2;ETATS UNIS;02/06/2010;6;1,31;2010;Comédie romantique;US;"[1;5[";US;Printemps
38;THE KARATE KID;ETATS UNIS;18/08/2010;8;1,28;2010;Comédie dramatique;US;"[1;5[";US;Été
39;TETE EN FRICHE (LA);FRANCE;02/06/2010;6;1,27;2010;Comédie dramatique;FR;"[1;5[";FR;Printemps
40;PERCY JACKSON LE VOLEUR DE FOUDRE;ETATS UNIS;10/02/2010;2;1,23;2010;Fantasy;US;"[1;5[";US;Hiver
41;FATAL;CANADA  / FRANCE;16/06/2010;6;1,21;2010;Comédie;CA;"[1;5[";Autre;Printemps
42;GAINSBOURG (VIE HEROÏQUE);FRANCE;20/01/2010;1;1,20;2010;Biopic/Biographie;FR;"[1;5[";FR;Hiver
43;VALENTINE'S DAY;ETATS UNIS;17/02/2010;2;1,19;2010;Comédie romantique;US;"[1;5[";US;Hiver
44;AGENCE TOUS RISQUES (L');ETATS UNIS;16/06/2010;6;1,19;2010;Action;US;"[1;5[";US;Printemps
45;DERNIER MAITRE DE L'AIR (LE);ETATS UNIS;28/07/2010;7;1,18;2010;Fantastique;US;"[1;5[";US;Été
46;HOMME QUI VOULAIT VIVRE SA VIE (L');FRANCE;03/11/2010;11;1,18;2010;Drame;FR;"[1;5[";FR;Automne
47;IMMORTEL (L');FRANCE;24/03/2010;3;1,13;2010;Policier/Thriller;FR;"[1;5[";FR;Hiver
48;AMOUR C'EST MIEUX A DEUX (L') (EX L'HOMME QUI MURMURAIT A L'OREILLE DES FEMMES);FRANCE;05/05/2010;5;1,12;2010;Comédie;FR;"[1;5[";FR;Printemps
49;ITALIEN (L');FRANCE;14/07/2010;7;1,11;2010;Comédie;FR;"[1;5[";FR;Été
50;THE TOWN;ETATS UNIS;15/09/2010;9;1,08;2010;Policier/Thriller;US;"[1;5[";US;Été
51;THE GHOST WRITER;FRANCE / ALLEMAGNE / GRANDE BRETAGNE;03/03/2010;3;1,05;2010;Policier/Thriller;FR;"[1;5[";FR;Hiver
1;INTOUCHABLES;FRANCE;02/11/2011;11;16,67;2011;Comédie dramatique;FR;"[15;20[";FR;Automne
2;RIEN A DECLARER;FRANCE / BELGIQUE;02/02/2011;2;8,10;2011;Comédie;FR;"[5;10[";FR;Hiver
3;HARRY POTTER ET LES RELIQUES DE LA MORT (2E PARTIE);GRANDE BRETAGNE;13/07/2011;7;6,52;2011;Fantastique;GB;"[5;10[";GB;Été
4;AVENTURES DE TINTIN : LE SECRET DE LA LICORNE (LES);ETATS UNIS;26/10/2011;10;5,37;2011;Aventure;US;"[5;10[";US;Automne
5;PIRATES DES CARAIBES : LA FONTAINE DE JOUVENCE;ETATS UNIS / GRANDE BRETAGNE;18/05/2011;5;4,67;2011;Fantastique;US;"[1;5[";US;Printemps
6;TWILIGHT - CHAPITRE 4 : REVELATION 1ÈRE PARTIE;ETATS UNIS;16/11/2011;11;3,61;2011;Fantastique;US;"[1;5[";US;Automne
